eV,H,He,Li,U1,U2,U3,U4,U5
11.11872136,4.20E-22,0,6.32E-277,0.232228476,8.01E-11,2.37E-61,4.11E-19,2.94E-20
11.26060515,1.70E-19,4.15e-322,1.10E-286,0.052281518,8.44E-13,5.72E-66,1.24E-16,5.82E-23
11.40429949,4.65E-17,9.36635115918e-312,1.30E-296,0.007968558,6.02E-15,9.37E-71,2.51E-14,7.81E-26
11.54982749,8.61E-15,1.44E-301,1.04E-306,0.000822262,2.91E-17,1.04E-75,3.47E-12,7.10E-29
11.69721254,1.08E-12,1.49E-291,5.645416e-317,5.74E-05,9.50E-20,7.78E-81,3.23E-10,4.37E-32
11.84647834,9.16E-11,1.05E-281,0,2.72E-06,2.10E-22,3.95E-86,2.04E-08,1.82E-35
11.9976489,5.27E-09,4.98E-272,0,8.70E-08,3.15E-25,1.36E-91,8.74E-07,5.13E-39
12.15074851,2.05E-07,1.61E-262,0,1.89E-09,3.20E-28,3.16E-97,2.53E-05,9.79E-43
12.30580179,5.40E-06,3.50E-253,0,2.77E-11,2.19E-31,4.98E-103,0.000496008,1.27E-46
12.46283368,9.62E-05,5.17E-244,0,2.75E-13,1.02E-34,5.31E-109,0.006582969,1.11E-50
12.62186942,0.00116209,5.17E-235,0,1.85E-15,3.21E-38,3.83E-115,0.059149813,6.56E-55
12.78293458,0.009499194,3.50E-226,0,8.43E-18,6.84E-42,1.87E-121,0.359818754,2.63E-59
12.94605507,0.052569367,1.60E-217,0,2.60E-20,9.88E-46,6.20E-128,1.481880118,7.14E-64
13.1112571,0.196959792,4.97E-209,0,5.42E-23,9.65E-50,1.39E-134,4.131818196,1.31E-68
13.27856724,0.499598661,1.04E-200,0,7.66E-26,6.38E-54,2.11E-141,7.799525698,1.63E-73
13.4480124,0.857953623,1.48E-192,0,7.33E-29,2.88E-58,2.16E-148,9.96767891,1.38E-78
13.61961981,0.99748234,1.43E-184,0,4.75E-32,6.90E-56,1.50E-155,8.624198472,7.85E-84
13.79341707,0.785137056,9.30E-177,0,2.08E-35,1.23E-51,7.08E-163,5.05175526,3.03E-89
13.96943212,0.418393175,4.10E-169,0,6.18E-39,1.48E-47,2.26E-170,2.003386389,7.93E-95
14.14769326,0.150946332,1.23E-161,0,1.24E-42,1.21E-43,4.87E-178,0.537880738,1.40E-100
14.32822916,0.036868833,2.48E-154,0,1.69E-46,6.66E-40,7.11E-186,0.097770114,1.68E-106
14.51106884,0.006096704,3.39E-147,0,2.59E-45,2.49E-36,7.03E-194,0.012031648,1.36E-112
14.6962417,0.000682542,3.14E-140,0,1.69E-41,6.29E-33,4.71E-202,0.001002404,7.49E-119
14.88377752,5.17E-05,1.97E-133,0,7.48E-38,1.08E-29,2.13E-210,5.65E-05,2.79E-125
15.07370644,2.65E-06,8.38E-127,0,2.24E-34,1.25E-26,5.65E-209,2.16E-06,7.02E-132
15.26605901,9.22E-08,2.41E-120,0,4.54E-31,9.81E-24,1.21E-200,5.58E-08,1.20E-138
15.46086615,2.17E-09,4.69E-114,0,6.23E-28,5.21E-21,1.75E-192,9.77E-10,1.38E-145
15.65815919,3.45E-11,6.18E-108,0,5.79E-25,1.88E-18,1.72E-184,1.16E-11,1.08E-152
15.85796985,3.72E-13,5.52E-102,0,3.64E-22,4.57E-16,1.14E-176,9.29E-14,5.70E-160
16.06033024,2.72E-15,3.33E-96,0,1.55E-19,7.54E-14,5.15E-169,5.04E-16,2.04E-167
16.26527292,1.34E-17,1.36E-90,0,4.47E-17,8.42E-12,1.57E-161,1.86E-18,4.95E-175
16.47283083,4.49E-20,3.78E-85,0,8.72E-15,6.36E-10,3.23E-154,4.62E-21,8.12E-183
16.68303735,1.02E-22,7.08E-80,0,1.15E-12,3.26E-08,4.51E-147,7.78E-24,9.03E-191
16.89592627,1.56E-25,8.99E-75,0,1.03E-10,1.13E-06,4.26E-140,8.88E-27,6.79E-199
17.11153182,1.62E-28,7.72E-70,0,6.25E-09,2.65E-05,2.73E-133,6.86E-30,3.46E-207
17.32988868,1.14E-31,4.49E-65,0,2.56E-07,0.000420443,1.18E-126,3.59E-33,1.19E-215
17.55103194,5.41E-35,1.77E-60,0,7.11E-06,0.004520626,3.47E-120,1.27E-36,2.78E-224
17.77499716,1.74E-38,4.72E-56,0,0.000133624,0.032907077,6.88E-114,3.05E-40,4.40E-233
18.00182037,3.80E-42,8.52E-52,0,0.001700329,0.16217312,9.25E-108,4.94E-44,4.71E-242
18.23153801,5.61E-46,1.04E-47,0,0.014648028,0.541087242,8.42E-102,5.43E-48,3.41E-251
18.46418704,5.61E-50,8.62E-44,0,0.085432717,1.222234593,5.19E-96,4.04E-52,1.44E-246
18.69980486,3.80E-54,4.83E-40,0,0.337340226,1.869135156,2.16E-90,2.03E-56,1.64E-237
18.93842935,1.74E-58,1.83E-36,0,0.901801391,1.935199295,6.11E-85,6.94E-61,1.26E-228
19.18009888,5.40E-63,4.70E-33,0,1.632121655,1.356467976,1.17E-79,1.60E-65,6.58E-220
19.4248523,1.13E-67,8.18E-30,0,1.99982968,0.643712955,1.51E-74,2.50E-70,2.32E-211
19.67272898,1.61E-72,9.62E-27,0,1.65894638,0.206811084,1.32E-69,2.65E-75,5.56E-203
19.92376876,1.55E-77,7.67E-24,0,0.931688093,0.044983602,7.86E-65,1.90E-80,8.99E-195
20.17801201,1.01E-82,4.14E-21,0,0.354248156,0.006624201,3.16E-60,9.20E-86,9.86E-187
20.43549961,4.46E-88,1.51E-18,0,0.091189221,0.000660407,8.58E-56,3.02E-91,7.31E-179
20.69627295,1.33E-93,3.73E-16,0,0.01589199,4.46E-05,1.58E-51,6.71E-97,3.67E-171
20.96037397,2.69E-99,6.25E-14,0,0.001875046,2.04E-06,1.97E-47,1.01E-102,1.25E-163
21.22784513,3.69E-105,7.09E-12,0,0.000149777,6.30E-08,1.66E-43,1.03E-108,2.88E-156
21.49872944,3.42E-111,5.44E-10,0,8.10E-06,1.32E-09,9.49E-40,7.10E-115,4.48E-149
21.77307045,2.14E-117,2.82E-08,0,2.97E-07,1.87E-11,3.67E-36,3.31E-121,4.73E-142
22.05091227,9.11E-124,9.93E-07,0,7.35E-09,1.80E-13,9.61E-33,1.05E-127,3.38E-135
22.33229957,2.62E-130,2.36E-05,0,1.23E-10,1.17E-15,1.70E-29,2.24E-134,1.63E-128
22.61727761,5.10E-137,0.000381144,0,1.40E-12,5.14E-18,2.05E-26,3.25E-141,5.35E-122
22.90589218,6.72E-144,0.004159398,0,1.08E-14,1.53E-20,1.66E-23,3.19E-148,1.19E-115
23.19818972,6.00E-151,0.03073056,0,5.61E-17,3.09E-23,9.14E-21,2.12E-155,1.78E-109
23.4942172,3.63E-158,0.153712546,0,1.98E-19,4.21E-26,3.40E-18,9.52E-163,1.81E-103
23.79402223,1.48E-165,0.520531504,0,4.72E-22,3.90E-29,8.58E-16,2.90E-170,1.24E-97
24.09765302,4.11E-173,1.193393258,0,7.63E-25,2.44E-32,1.47E-13,5.97E-178,5.80E-92
24.40515837,7.70E-181,1.852332716,0,8.35E-28,1.03E-35,1.69E-11,8.33E-186,1.83E-86
24.71658774,9.78E-189,1.946494905,0,6.19E-31,2.96E-39,1.32E-09,7.87E-194,3.90E-81
25.0319912,8.40E-197,1.384797918,2.47e-322,3.10E-34,5.76E-43,7.02E-08,5.03E-202,5.64E-76
25.35141946,4.89E-205,0.666988567,5.62901195418e-312,1.05E-37,7.57E-47,2.52E-06,2.18E-210,5.52E-71
25.67492388,1.93E-213,0.217494978,8.70E-302,2.42E-41,6.74E-51,6.11E-05,6.39E-219,3.66E-66
26.00255647,5.13E-222,0.048015221,9.11E-292,3.77E-45,4.06E-55,0.001004182,1.27E-227,1.64E-61
26.33436992,9.27E-231,0.007176414,6.46E-282,3.97E-49,1.66E-59,0.011174594,1.70E-236,4.98E-57
26.67041758,1.13E-239,0.000726164,3.10E-272,2.83E-53,4.57E-64,0.08418795,1.55E-245,1.02E-52
